LDCT_PSNR,Enhanced_PSNR,Bilateral_Lung_PSNR,NLM_Lung_PSNR,BM3D_Lung_PSNR,LDCT_SSIM,Enhanced_SSIM,Bilateral_Lung_SSIM,NLM_Lung_SSIM,BM3D_Lung_SSIM
28.257263,27.385326,27.305458,27.51987,28.136013,0.9733029040943377,0.9791959298505398,0.9796394777984928,0.978865436075313,0.983326809748824
28.196356,27.249546,27.151447,27.473602,28.045652,0.9767303297967759,0.9824011362777717,0.9836848608892331,0.9833838766836418,0.9864224071359486
28.265957,27.459026,27.529491,27.714172,28.26174,0.9683046765687983,0.9751083288816028,0.9764714660102602,0.9749436231291946,0.9805248375671785
28.168968,27.327694,27.419365,27.705297,28.176342,0.9792111441610597,0.983988252010421,0.9848453442032742,0.9841620695490707,0.9875661980198778
28.236721,27.480757,27.492409,27.77025,28.38337,0.9591414467563936,0.9692806270901856,0.9708789888671344,0.9690675264961673,0.9766530763389247
28.07976,27.16051,27.037212,27.38638,27.976624,0.9614885155663341,0.9703947234999549,0.9715250412231701,0.9702386472071389,0.9768350473395941
28.067896,27.323835,27.303278,27.61776,28.137917,0.9530714907559452,0.9642424255692272,0.9658700328101769,0.9633258710746889,0.9721778942331926
28.111078,27.32129,27.30314,27.676039,28.18629,0.9555873434638712,0.965550612516954,0.9666663352262259,0.9649795388888759,0.9731560352124714
27.966776,26.999472,26.97957,27.505318,27.827415,0.9544174023240359,0.9647974149421062,0.9655018841171887,0.9639109897598411,0.9719658415067864
27.94497,27.205074,27.268784,27.721846,28.06403,0.9459685197745737,0.960438512372973,0.9626407893459097,0.9605489666847168,0.9698992721428789
27.926762,27.135185,27.173576,27.676125,27.998753,0.9483569921842526,0.9618970598890989,0.9640577326756186,0.9622075636145048,0.9707263937488073
28.031517,27.14661,27.182844,27.701618,28.048656,0.9530063777340866,0.9640696196839691,0.9660320633296288,0.963778349542776,0.9723618277647942
28.161427,27.359528,27.415895,27.925318,28.271646,0.9479478106354765,0.9608268381757089,0.9633958697951863,0.9611815294609733,0.96962157794293
27.975407,27.11035,27.249086,27.822783,27.98974,0.9435492883521776,0.9587077578360733,0.9621772452221897,0.9599437589839162,0.9686304974921741
27.685116,27.087137,27.189884,27.900827,27.941158,0.9358651268893842,0.9560369160500347,0.9607085788094382,0.9589036498144571,0.9668376123673117
27.710228,26.937088,27.007095,27.686478,27.755032,0.9394343849606764,0.9581495555010261,0.9625287812774571,0.9612658428663368,0.9689063264919003
27.585808,26.856522,26.974098,27.684483,27.707586,0.9387578616531101,0.9595304422274786,0.9643483435168738,0.9631154065835219,0.9705046185831565
27.626709,26.985857,26.986866,27.49017,27.806965,0.9416871751427872,0.960502744198826,0.9640111188715935,0.962076228684636,0.9704474558101548
27.582972,26.925419,27.029457,27.467506,27.694592,0.9347339118091799,0.9552990593531562,0.958544645607967,0.9561404251599597,0.9659779395114684
27.556705,26.896715,26.948385,27.434446,27.649036,0.9294868134462146,0.9510763519668207,0.9556800867717234,0.9533969106174158,0.9630600405527354
27.60239,27.029785,27.17006,27.634377,27.823502,0.9289155062998662,0.950995444767478,0.9567801695519913,0.9549495578618258,0.9639005825718171
27.584057,27.025013,27.19344,27.779291,27.835915,0.9274548916361933,0.9514385994458173,0.9567406020638243,0.9552677678358595,0.9636619684799546
