PSNR_LDCT,PSNR_ENH,SSIM_LDCT,SSIM_ENH
30.168228,27.847092,0.973836670551591,0.9767102034452502
30.138035,27.340668,0.9768734016237913,0.9779909148148355
30.160725,27.505457,0.9736259838423857,0.9765585990768342
30.191715,27.654352,0.9631916744795634,0.9689837107630274
30.273531,27.637245,0.9661001006572301,0.9691313355534891
30.242643,27.53341,0.9644201586871841,0.965811668801091
30.23614,27.603855,0.9630794373826681,0.9651293966653037
30.273838,27.64658,0.9635808936818913,0.9656826893498887
30.213356,27.532423,0.9644769701245537,0.9674425813247074
30.190058,27.497952,0.9629491942125327,0.9676444754966516
30.22702,27.468658,0.9620278604466798,0.9671056059129239
30.188774,27.573406,0.9602378754717801,0.9666157092425748
30.185028,27.472511,0.9608287955357921,0.9662728605370242
30.279799,27.689798,0.9606703920369752,0.9665141321369379
30.285036,27.750984,0.9608099029326225,0.9678722935679681
30.268314,27.64775,0.9610137071056406,0.9681336389129589
30.232527,27.613657,0.9605487550489112,0.9674422874062926
30.243322,27.59536,0.960854038571011,0.9661701338489028
30.332855,27.693016,0.9619547044658275,0.9656788134405088
30.224592,27.538414,0.9604741799299843,0.9659365304486615
30.296926,27.492733,0.9616457115129612,0.9663708445372254
30.233667,27.550499,0.9610586340546098,0.9649391648715472
30.260475,27.730368,0.9610279045889518,0.9643703309689928
30.092346,27.48065,0.9595061803572152,0.96254958886506
30.14144,27.546865,0.9610110068730044,0.9636236558118171
30.282831,27.762897,0.9631033208598387,0.9669770131995716
30.233057,27.913815,0.9615703216431489,0.9666631225851605
30.160368,27.867544,0.9622260817374197,0.9673066966527916
30.03461,27.830181,0.9627250020147612,0.9691326675530376
30.071276,27.54486,0.9660240992300531,0.970108599205689
29.993288,27.390163,0.9647442357345959,0.9692850356029384
30.067417,27.299576,0.9683056345380033,0.970783585750692
29.929678,27.305258,0.9671527239300062,0.9708294153612633
29.905617,27.257261,0.9711257315304718,0.9751422311437004
29.90553,27.362072,0.9708925929077006,0.9740290449557617
30.110615,27.504112,0.9750234854849154,0.9766472117836926
30.170963,27.506922,0.9815943299301402,0.9825998321767464
30.177788,27.50706,0.9795589772343755,0.980842187516343
30.199844,27.605486,0.9761522013045298,0.9772810305276869
30.276844,27.798079,0.9764571199145727,0.9771027019281663
30.221453,27.365429,0.9747490564165053,0.975066392557844
30.31551,27.767637,0.9833797145185066,0.9842251229921081
30.109356,27.229065,0.9839981559178452,0.984342076302098
29.961086,26.729126,0.980565645937648,0.9805115290495612
30.03773,27.03804,0.9818607679580584,0.9817050196340176
30.112906,26.991596,0.9823320030115692,0.9815749302804428
30.081543,26.717064,0.9811811930859192,0.9793610179245636
29.90776,26.473907,0.9801418123479769,0.9797323174469332
29.815414,26.645794,0.978988893547996,0.9799891038500382
29.956654,26.820072,0.9787763765279321,0.9788241181621256
29.955961,27.124283,0.9788749371182051,0.9794388179797937
29.840536,26.76924,0.979199020796516,0.9793204892954657
29.77001,26.674492,0.9786887378330226,0.979054409297749
30.002724,26.680582,0.9790157058429403,0.9787143994693739
29.96622,26.945389,0.9800844951101305,0.9802151662675771
29.871244,26.711666,0.9819007033103053,0.9819419724526659
29.86972,26.884975,0.9849344037843234,0.9848076886812428
29.897287,26.737709,0.9823273448696795,0.9820976834434303
30.115143,26.98387,0.9787838161956616,0.9793028231064124
30.194874,27.491076,0.9785641169956223,0.9797180540663917
30.152597,27.21575,0.9827678767511249,0.9825645340181277
30.11736,26.829147,0.9835284558445098,0.9827334471021899
30.258732,26.935368,0.9831321711336496,0.9824938731804851
30.06295,26.863476,0.9798806089899212,0.9795853983867004
30.142433,26.806097,0.9801171219600888,0.9809950442092822
29.914806,26.774387,0.9761937818247408,0.977448646979324
29.990334,26.775267,0.9758387669682537,0.9765609656845791
30.090677,26.804056,0.9766750963692484,0.9771180347696609
30.097683,26.89826,0.9781507807514974,0.9773936276401426
30.143831,27.229687,0.9748091079593477,0.9757638951067823
30.073086,27.117712,0.9795084478429243,0.9794361883133827
