LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
28.02052,26.438328,26.63748,0.9609214128133224,0.9680482866471106,0.9712854364511523
27.921398,26.264162,26.496859,0.9636452129521961,0.9700949126270071,0.9732646347455256
27.917908,26.251432,26.545357,0.9633577215450079,0.969519473636374,0.9729326995029617
27.96439,26.492031,26.719498,0.9625083907247223,0.9694120696393255,0.9725927521790785
27.997534,26.45945,26.714333,0.9632957994249514,0.9684481373671269,0.9717699507798079
28.039186,26.624023,26.905811,0.9639966377384085,0.9708217005716294,0.9741750395952958
27.98864,26.911366,27.227135,0.961219429282801,0.970719004085137,0.9751424460066815
28.028095,26.890059,27.304893,0.9614678379789894,0.9694226283868327,0.9739883557047218
28.021835,26.654074,26.966507,0.9622540526559628,0.9691311837375935,0.9725913290040844
28.11289,26.644342,26.876337,0.9624708995840425,0.9698154161022909,0.9731221067307532
28.190763,27.03224,27.308475,0.9618378609490338,0.9696903119504507,0.97356854130159
28.122015,26.961044,27.251575,0.9597457567598473,0.9682358028514843,0.9721120095360054
28.082756,27.081684,27.321356,0.9591743205539479,0.9675469876743422,0.9709604650238948
28.234467,27.19084,27.545908,0.9602243824354575,0.9671418493214847,0.9709012184453465
28.33953,27.680138,28.164759,0.9579295115470169,0.9667774033949723,0.971940099913317
28.247574,27.988186,28.642384,0.9572954009734453,0.9697298994700047,0.9748438264142226
28.095686,26.603096,27.14381,0.9703937325508525,0.9779131706149234,0.9813618468946749
28.284012,26.621452,27.114422,0.9796829568675394,0.984466390956475,0.9865641436765037
28.132355,26.488659,27.012756,0.9826937138205045,0.9861856868315425,0.9880218042003145
27.260857,24.765694,24.933445,0.9808705399511372,0.9821520702808848,0.9830249585343972
27.268288,24.831621,24.982395,0.983140388422337,0.9849832556048446,0.9858197659347426
27.210346,24.78917,24.890026,0.9801968754748149,0.9817514623339385,0.9827357086602869
27.196333,25.18838,25.327183,0.9833739585784551,0.9859848192802657,0.9869091191889042
27.409973,24.863113,24.924414,0.9816071772108235,0.9823263793362885,0.983314611273578
